
<<<<<<< HEAD
0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
1,1,1,0,
0,0,0,1,
0,0,1,0,
0,1,0,0,
1,0,0,0,
0,0,0,1,
0,0,1,0,
0,1,0,0,
1,0,0,0,
0,0,0,1,
0,0,1,0,
=======
0,0,0,1,
0,0,1,0,
0,1,0,0,
1,0,0,0,
>>>>>>> origin/kasai
0,1,0,0,
1,0,0,0,
0,0,0,1,
0,0,1,0,
0,1,0,0,
1,0,0,0,
0,0,0,1,
<<<<<<< HEAD
0,0,1,0,
0,1,0,0,
1,0,0,0,
0,0,0,1,
0,0,1,0,
0,1,0,0,
1,0,0,0,
0,0,0,1,
0,0,1,0,
0,1,0,0,
1,0,0,0,
=======
0,0,1,0,
0,1,0,0,
1,0,0,0,
0,1,0,0,
0,0,1,0,
>>>>>>> origin/kasai
0,0,0,1,
0,0,1,0,
0,1,0,0,
1,0,0,0,
